638	fffc	fffc	-4	-4
639	fffc	ffff	-4	-1
640	fe5c	0457	-420	1111
641	00db	ff90	219	-112
642	fffd	0000	-3	0
643	fffc	0002	-4	2
644	fffc	fffc	-4	-4
645	fffd	0009	-3	9
646	fffc	ffff	-4	-1
647	fffb	0001	-5	1
648	fffe	0002	-2	2
649	ffd6	fffc	-42	-4
650	fffd	ffff	-3	-1
651	fffc	0002	-4	2
652	fffd	fffa	-3	-6
653	fffc	0004	-4	4
654	fffc	fffd	-4	-3
655	fffb	ffff	-5	-1
656	fe63	00db	-413	219
657	00e1	0171	225	369
658	fffc	0000	-4	0
659	fffc	0003	-4	3
660	fffb	fffd	-5	-3
661	fffb	0004	-5	4
662	fffe	fffe	-2	-2
663	fffc	0001	-4	1
664	0000	fffa	0	-6
665	0025	0032	37	50
666	fffc	ffff	-4	-1
667	fffc	0002	-4	2
668	fffc	fff8	-4	-8
669	fffa	0002	-6	2
670	fffc	fffd	-4	-3
671	fffc	0000	-4	0
672	fee6	ffda	-282	-38
673	0056	0442	86	1090
674	fffd	ffff	-3	-1
675	fffd	0002	-3	2
676	fffb	fffd	-5	-3
677	0005	0001	5	1
678	fffd	fffd	-3	-3
679	fffd	0000	-3	0
680	fff4	ffee	-12	-18
681	ffd4	ffde	-44	-34
682	fffc	ffff	-4	-1
683	fffd	0001	-3	1
684	fffc	fff9	-4	-7
685	fffb	0003	-5	3
686	fffd	fffd	-3	-3
687	fffd	0000	-3	0
688	fe97	ffd3	-361	-45
689	002f	ffaf	47	-81
690	fffd	ffff	-3	-1
691	fffd	0002	-3	2
692	fffc	fffb	-4	-5
693	fffc	0003	-4	3
694	fffd	fffd	-3	-3
695	fffd	ffff	-3	-1
696	ffd2	0034	-46	52
697	fffc	fff9	-4	-7
698	fffc	ffff	-4	-1
699	fffd	0000	-3	0
700	fffa	fff8	-6	-8
701	fffc	0003	-4	3
702	fffd	fffc	-3	-4
703	fffc	fffe	-4	-2
704	f435	08f7	-3019	2295
705	016d	fc15	365	-1003
706	fffd	0000	-3	0
707	fffc	0002	-4	2
708	fffe	fffc	-2	-4
709	fffa	0003	-6	3
710	fffe	fffe	-2	-2
711	fffc	0000	-4	0
712	fff7	0000	-9	0
713	ffff	ffa4	-1	-92
714	fffd	fffe	-3	-2
715	fffd	0002	-3	2
716	fffc	fffa	-4	-6
717	fffb	0004	-5	4
718	fffb	fffe	-5	-2
719	fffb	0000	-5	0
720	0017	ffb8	23	-72
721	006d	0002	109	2
722	fffd	ffff	-3	-1
723	fffb	0002	-5	2
724	fffd	fffc	-3	-4
725	fffb	0002	-5	2
726	fffc	fffe	-4	-2
727	fffb	0001	-5	1
728	000e	ffb1	14	-79
729	ffeb	0022	-21	34
730	fffc	ffff	-4	-1
731	fffc	0002	-4	2
732	fff2	fffb	-14	-5
733	fffb	0001	-5	1
734	fffd	fffc	-3	-4
735	fffc	ffff	-4	-1
736	018a	042e	394	1070
737	ff4a	fec6	-182	-314
738	fffd	ffff	-3	-1
739	fffc	0001	-4	1
740	fffc	fffc	-4	-4
741	0003	0006	3	6
742	fffd	fffe	-3	-2
743	fffc	0000	-4	0
744	fff6	0008	-10	8
745	0012	0019	18	25
746	fffc	ffff	-4	-1
747	fffd	0001	-3	1
748	fffd	fffa	-3	-6
749	fffc	0003	-4	3
750	fffd	fffe	-3	-2
751	fffd	0000	-3	0
752	ffff	ffbc	-1	-68
753	001a	0029	26	41
754	fffd	ffff	-3	-1
755	fffd	0000	-3	0
756	fffc	fffe	-4	-2
757	fffc	0004	-4	4
758	fffd	ffff	-3	-1
759	fffc	0000	-4	0
760	ff67	fffb	-153	-5
761	ffed	0000	-19	0
762	fffd	fffd	-3	-3
763	fffc	0002	-4	2
764	0003	fff8	3	-8
765	fffb	0001	-5	1
766	fffc	fffb	-4	-5
767	fffb	ffff	-5	-1
768	004d	014f	77	335
769	004c	feac	76	-340
770	fffd	0000	-3	0
771	fffc	0003	-4	3
772	fffc	fffc	-4	-4
773	0004	0006	4	6
774	fffc	fffd	-4	-3
775	fffc	0001	-4	1
776	ffee	fffd	-18	-3
777	ff65	0004	-155	4
778	fffc	ffff	-4	-1
779	fffd	0001	-3	1
780	fffd	fffb	-3	-5
781	fffb	0001	-5	1
782	fffd	0000	-3	0
783	fffc	0000	-4	0
784	001a	ffd5	26	-43
785	fffd	0041	-3	65
786	fffd	ffff	-3	-1
787	fffd	0001	-3	1
788	fffc	fffb	-4	-5
789	fffc	0004	-4	4
790	fffd	fffe	-3	-2
791	fffb	0001	-5	1
792	0012	ffe6	18	-26
793	fff5	fff4	-11	-12
794	fffd	fffe	-3	-2
795	fffc	0001	-4	1
796	0002	fff8	2	-8
797	fffb	0002	-5	2
798	fffc	fffd	-4	-3
799	fffc	ffff	-4	-1
800	ff4b	0135	-181	309
801	018a	fbcd	394	-1075
802	fffd	0000	-3	0
803	fffd	0003	-3	3
804	fffd	fffd	-3	-3
805	fff1	0004	-15	4
806	fffd	fffe	-3	-2
807	fffc	0000	-4	0
808	ffec	ffdc	-20	-36
809	000f	004d	15	77
810	fffd	fffe	-3	-2
811	fffc	0001	-4	1
812	fffc	fffc	-4	-4
813	fffc	0003	-4	3
814	fffb	fffd	-5	-3
815	fffb	0000	-5	0
816	006c	fffc	108	-4
817	0017	0046	23	70
818	fffc	ffff	-4	-1
819	fffc	0001	-4	1
820	fffc	fffb	-4	-5
821	fffb	0005	-5	5
822	fffd	fffe	-3	-2
823	fffc	0000	-4	0
824	0000	0058	0	88
825	fff6	fffe	-10	-2
826	fffc	fffe	-4	-2
827	fffe	0001	-2	1
828	fffb	fffb	-5	-5
829	fffc	0002	-4	2
830	fffc	fffd	-4	-3
831	fffb	ffff	-5	-1
832	016d	03e6	365	998
833	f433	f704	-3021	-2300
834	fffd	0000	-3	0
835	fffd	0003	-3	3
836	fffd	fffc	-3	-4
837	fff9	0006	-7	6
838	fffd	fffe	-3	-2
839	fffd	0000	-3	0
840	fffe	0003	-2	3
841	ffd1	ffc8	-47	-56
842	fffd	ffff	-3	-1
843	fffd	0002	-3	2
844	fffd	fffb	-3	-5
845	fffb	0004	-5	4
846	fffc	fffe	-4	-2
847	fffc	ffff	-4	-1
848	002f	004d	47	77
849	fe95	002a	-363	42
850	fffd	0000	-3	0
851	fffc	0002	-4	2
852	fffc	fffc	-4	-4
853	fffb	0005	-5	5
854	fffd	fffe	-3	-2
855	fffc	0000	-4	0
856	ffd6	001f	-42	31
857	fff3	0010	-13	16
858	fffd	ffff	-3	-1
859	fffd	0002	-3	2
860	0005	fffe	5	-2
861	fffa	0001	-6	1
862	fffd	fffc	-3	-4
863	fffb	0000	-5	0
864	0055	fbba	85	-1094
865	fee4	0024	-284	36
866	fffd	0000	-3	0
867	fffc	0003	-4	3
868	fffb	fffc	-5	-4
869	fffb	0006	-5	6
870	fffd	fffe	-3	-2
871	fffc	0001	-4	1
872	0025	ffcd	37	-51
873	0000	0004	0	4
874	fffc	ffff	-4	-1
875	fffd	0001	-3	1
876	fffc	fffa	-4	-6
877	fffa	0001	-6	1
878	fffd	fffc	-3	-4
879	fffb	0000	-5	0
880	00e1	fe8d	225	-371
881	fe61	ff21	-415	-223
882	fffb	0000	-5	0
883	fffb	0002	-5	2
884	fffc	fffb	-4	-5
885	fffc	0005	-4	5
886	fffc	fffd	-4	-3
887	fffd	0000	-3	0
888	ffd8	0000	-40	0
889	fffd	fffa	-3	-6
890	fffc	fffe	-4	-2
891	fffc	0000	-4	0
892	ffff	fff5	-1	-11
893	fffb	0002	-5	2
894	fffc	fffd	-4	-3
895	fffb	ffff	-5	-1
896	00dc	006b	220	107
897	fe59	fba3	-423	-1117
898	fffd	ffff	-3	-1
899	fffc	0003	-4	3
900	fffd	fffd	-3	-3
901	0001	0009	1	9
902	fffd	ffff	-3	-1
903	fffc	0001	-4	1
904	fffb	ffe9	-5	-23
905	ff8c	ffef	-116	-17
906	fffd	ffff	-3	-1
907	fffc	0002	-4	2
908	fffc	fffd	-4	-3
909	fffa	0004	-6	4
910	fffd	ffff	-3	-1
911	fffb	0001	-5	1
912	000e	ff6d	14	-147
913	fe52	0078	-430	120
914	fffd	0000	-3	0
915	fffc	0003	-4	3
916	fffc	fffc	-4	-4
917	fffb	0004	-5	4
918	fffc	fffe	-4	-2
919	fffb	0001	-5	1
920	0010	ff64	16	-156
921	fffb	0001	-5	1
922	fffd	fffe	-3	-2
923	fffc	0001	-4	1
924	fffb	fffa	-5	-6
925	fffc	0002	-4	2
926	fffc	fffd	-4	-3
927	fffc	ffff	-4	-1
928	f9d5	007b	-1579	123
929	ffd1	005a	-47	90
930	fffc	ffff	-4	-1
931	fffc	0002	-4	2
932	fffd	fffc	-3	-4
933	fffb	0005	-5	5
934	fffc	ffff	-4	-1
935	fffc	0001	-4	1
936	ffff	fff0	-1	-16
937	001c	ffea	28	-22
