952	0001	0027	1	39
953	0013	ffee	19	-18
954	0013	0007	19	7
955	0013	fff6	19	-10
956	0009	001b	9	27
957	0011	ffec	17	-20
958	0012	0011	18	17
959	0012	fffe	18	-2
960	006d	009f	109	159
961	00f5	01e2	245	482
962	0013	0000	19	0
963	0013	ffec	19	-20
964	0013	0014	19	20
965	000e	ffdc	14	-36
966	0012	0009	18	9
967	0012	fff8	18	-8
968	0017	0051	23	81
969	00cd	ff0b	205	-245
970	0012	0003	18	3
971	0013	fff3	19	-13
972	0016	001e	22	30
973	0013	ffe3	19	-29
974	0011	000d	17	13
975	0014	fffc	20	-4
976	ffc1	015f	-63	351
977	ff4f	feb4	-177	-332
978	0013	0002	19	2
979	0014	fff1	20	-15
980	0010	0017	16	23
981	0016	ffdf	22	-33
982	0012	000b	18	11
983	0013	fff9	19	-7
984	0048	0035	72	53
985	fff3	ffa1	-13	-95
986	0012	0005	18	5
987	0012	fff6	18	-10
988	0013	0013	19	19
989	0016	ffe7	22	-25
990	0014	0010	20	16
991	0013	fffe	19	-2
992	fc55	0856	-939	2134
993	ff83	ffb3	-125	-77
994	0013	0001	19	1
995	0012	ffee	18	-18
996	0012	0017	18	23
997	000d	ffc8	13	-56
998	0012	0008	18	8
999	0012	fff9	18	-7
1000	0016	000c	22	12
1001	006d	ffe4	109	-28
1002	0012	0005	18	5
1003	0012	fff4	18	-12
1004	0011	0022	17	34
1005	0013	ffe5	19	-27
1006	0013	000f	19	15
1007	0013	fffd	19	-3
1008	ff34	04cc	-204	1228
1009	ff83	003f	-125	63
1010	0011	0002	17	2
1011	0014	fff1	20	-15
1012	0017	001c	23	28
1013	0017	ffe7	23	-25
1014	0012	000b	18	11
1015	0013	fffb	19	-5
1016	002d	0075	45	117
1017	000b	ffbe	11	-66
1018	0011	0008	17	8
1019	0012	fff7	18	-9
1020	0003	002a	3	42
1021	0012	ffeb	18	-21
1022	0012	0014	18	20
1023	0012	0000	18	0
