613	0000	0003	0	3
614	fffe	fffe	-2	-2
615	fffd	0000	-3	0
616	ffe8	fff6	-24	-10
617	ff43	007d	-189	125
618	fffe	ffff	-2	-1
619	fffd	0000	-3	0
620	ffff	fffb	-1	-5
621	fffd	0003	-3	3
622	fffd	fffd	-3	-3
623	fffc	ffff	-4	-1
624	0263	00e5	611	229
625	fee2	0097	-286	151
626	fffe	0000	-2	0
627	fffe	0001	-2	1
628	fffe	fffb	-2	-5
629	fffd	0003	-3	3
630	fffe	ffff	-2	-1
631	fffd	0001	-3	1
632	ffe2	ffb8	-30	-72
633	fffd	0001	-3	1
634	fffe	ffff	-2	-1
635	fffd	0001	-3	1
636	fff1	fff2	-15	-14
637	fffd	0002	-3	2
638	ffff	fffe	-1	-2
639	fffd	0000	-3	0
640	fd27	ff56	-729	-170
641	02a6	009c	678	156
642	fffe	0000	-2	0
643	fffe	0002	-2	2
644	fffd	fffd	-3	-3
645	fffd	0007	-3	7
646	fffe	ffff	-2	-1
647	fffe	0000	-2	0
648	fffd	fffd	-3	-3
649	ffd0	001f	-48	31
650	fffd	0000	-3	0
651	fffd	0001	-3	1
652	ffff	fffc	-1	-4
653	fffe	0003	-2	3
654	fffe	0000	-2	0
655	fffd	0000	-3	0
656	ffe8	ffdc	-24	-36
657	fe38	005e	-456	94
658	fffe	ffff	-2	-1
659	fffd	0002	-3	2
660	fffd	fffd	-3	-3
661	fffd	0003	-3	3
662	fffd	ffff	-3	-1
663	fffc	0001	-4	1
664	0027	ffdb	39	-37
665	ff85	fffd	-123	-3
666	fffe	ffff	-2	-1
667	fffd	0001	-3	1
668	ffff	fffc	-1	-4
669	ffff	0001	-1	1
670	fffd	fffe	-3	-2
671	fffc	ffff	-4	-1
672	0049	00c3	73	195
673	008f	fc98	143	-872
674	fffe	0000	-2	0
675	fffe	0001	-2	1
676	fffe	fffd	-2	-3
677	fffc	fffd	-4	-3
678	fffe	ffff	-2	-1
679	fffd	0000	-3	0
680	ffe8	000a	-24	10
